Protein	HG_RPMI_exp_1	HG_RPMI_exp_2	HG_RPMI_exp_3	HG_RPMI_stat_1	HG_RPMI_stat_2	HG_RPMI_stat_3	HG_TSB_exp_1	HG_TSB_exp_2	HG_TSB_exp_3	HG_TSB_stat_1	HG_TSB_stat_2	HG_TSB_stat_3	ST_RPMI_exp_1	ST_RPMI_exp_2	ST_RPMI_exp_3	ST_RPMI_stat_1	ST_RPMI_stat_2	ST_RPMI_stat_3	ST_TSB_exp_1	ST_TSB_exp_2	ST_TSB_exp_3	ST_TSB_stat_1	ST_TSB_stat_2	ST_TSB_stat_3
SucA	34891.01477	51087.4274	46844.78758	28652.84131	36038.06468	46122.93154	63578.91644	27716.73905	27145.37442	229461.2338	183175.3998	215501.1905	38988.55919	42037.14783	34137.6575	29795.38425	29389.17864	22141.74376	49619.91547	16280.74938	17033.59472	221788.5942	206547.6335	239008.3782
TadA	12302.43457	14896.79238	9169.015728	NA	NA	NA	19362.71458	27391.15715	26533.60493	22469.27933	20993.26142	17556.81329	14626.34229	17975.75864	18386.39516	NA	NA	NA	36709.36885	25847.70245	35763.63477	17307.20999	20312.76078	19349.21975
Pgm	232737.0431	279727.2255	278399.1617	152142.0003	140029.8848	169681.2575	325843.8826	325041.0383	254693.7798	123354.1392	149432.4196	108159.0739	242677.7436	318766.0717	246196.3744	183120.2527	153468.6984	143666.7164	229757.4466	236956.6692	229724.9929	134988.7952	127148.6895	108026.1194
SAOUHSC_01098	9497.365165	13064.05957	12184.15951	5543.370011	1263.135823	6105.175614	23560.84314	22374.57812	34140.84973	16613.31599	15146.51373	15826.78191	13294.21238	9500.041854	12157.30771	7381.461306	9342.64664	8347.084844	25137.134	20260.89188	26354.58328	18405.65254	13500.09994	18734.19755
SAOUHSC_00179	5882.114734	7653.009411	7087.542493	4805.21437	10119.1347	8204.002099	6184.983612	1350.042398	6287.204279	15538.07785	9444.248678	13596.30907	7493.799999	4351.244031	5431.363302	5820.450862	5135.358768	3683.860971	7021.17099	NA	4031.869386	9496.3831	13815.15153	14466.54794
Cdr	288160.1392	260704.555	251477.0236	211589.5188	192348.0856	215393.5903	207619.1581	222467.7443	147106.353	157115.6015	151909.5293	140436.9738	249571.0868	254432.5548	273312.8305	306626.2489	294561.9134	228295.0279	167241.4695	158378.8716	177814.4657	207140.8334	176977.2159	170847.8593
SAOUHSC_00906	381177.0301	304692.325	376056.3443	407038.2508	322341.3838	463250.6308	237672.4853	220875.9521	216442.3261	268203.028	239493.1363	282344.8893	256167.4905	245523.0133	232998.3593	332791.6054	441396.5357	425499.1622	260610.0381	179927.181	235375.4251	369895.9583	289247.2323	315927.623
AddB	21732.16532	26534.02306	28576.04576	22366.65621	16340.98599	20457.31023	28759.10598	26054.58928	22529.57563	23219.64756	23185.64416	20458.78353	17126.31305	22580.6113	17813.93397	15259.67647	23423.79853	19177.94736	20866.12603	14808.25813	19485.89318	26338.91776	20565.50617	20612.23466
MetS	150681.9219	160513.3571	154081.25	121707.4059	94196.90746	142488.8763	170763.1389	154567.9744	133072.1985	108033.7781	104205.2762	93122.25866	144433.1806	121059.1518	132432.0622	149458.261	180290.8885	156416.7345	151582.8388	111353.6093	116867.7206	96250.95783	102837.5559	92505.53469
SAOUHSC_01810	497698.652	445105.6398	491349.3786	270660.142	342925.7411	245237.5378	454984.2659	495754.0156	516475.2958	311213.9632	324999.9797	344054.8988	485332.7326	322876.0003	485261.7696	228675.964	417691.2838	447648.6837	451618.9516	344713.5657	427768.1274	289103.9211	319210.7546	305485
GroEL	428048.3908	454591.7552	493744.8325	406872.891	399901.1327	453362.3062	408861.67	376008.3368	293995.6664	274385.6316	284828.7686	292948.4143	393198.5421	355541.9367	439087.323	392489.3484	365367.8175	287106.5227	395029.9788	346275.0163	427725.0825	340683.2713	319470.0405	299060.454
SAOUHSC_02911	11623.72928	11060.35276	11615.91061	NA	NA	NA	7748.349182	11598.72886	13091.32672	3541.019437	NA	2513.396213	13958.61051	7238.708653	10911.3805	NA	NA	NA	10587.85041	9481.58452	13559.19452	NA	1109.559485	4239.314887
Mqo1	46198.35604	40393.74814	38429.69727	33293.65672	52133.43097	32370.60713	51196.41069	33359.14607	41337.51394	283961.2922	161936.3221	227573.7516	33176.10457	23043.55989	30953.72489	23951.27312	22633.62939	25618.45844	45531.86855	26117.04423	31503.86838	172084.6041	157968.455	195736.7389
SAOUHSC_02778	67854.79546	66817.09032	74333.17196	55215.43034	64032.16699	69391.09391	69181.06684	45674.08506	52775.0803	103599.2571	126354.2012	111459.6577	60939.95258	44523.39263	44072.91687	63958.12086	73759.65218	67750.9109	45748.56342	31393.1889	40755.31607	125031.7686	99332.21603	101383.5295
